last_name,first_name
LOLLOBRIGIDA,JOHNNY
NICHOLSON,BETTE
SWANK,JOE
GABLE,CHRISTIAN
BERGEN,VIVIEN
COSTNER,FRED
VOIGHT,HELEN
MARX,ELVIS
BLOOM,KEVIN
WAYNE,ALEC
SOBIESKI,SISSY
MIRANDA,TOM
JOVOVICH,KIRK
STALLONE,NICK
GOLDBERG,PARKER
BARRYMORE,JULIA
DAY-LEWIS,FRANCES
PHOENIX,GARY
HUNT,CARMEN
PINKETT,PENELOPE
CRUISE,JUDE
TAUTOU,DUSTIN
WRAY,CAMERON
HUDSON,ANGELA
GRANT,ADAM
POSEY,BURT
ASTAIRE,ANGELINA
SINATRA,GROUCHO
CRUZ,RALPH
DAMON,SCARLETT
JOLIE,WOODY
PITT,JAMES
CHAPLIN,GREG
PESCI,KENNETH
PRESLEY,ELLEN
HAWKE,MEG
BRIDGES,CHRIS
LEIGH,MATTHEW
CROWE,SIDNEY
DUNST,GROUCHO
DERN,SYLVESTER
BACALL,RUSSELL
MCDORMAND,MORGAN
BALE,HARRISON
BERGMAN,LIZA
TOMEI,FRANCES
REYNOLDS,RITA
MANSFIELD,ED
HURT,WHOOPI
RYDER,JADA
WITHERSPOON,ANGELA
HESTON,GEOFFREY
GIBSON,MERYL
MALDEN,GRETA
BASINGER,VIVIEN
HOPE,HARVEY
BULLOCK,LAURENCE
WILSON,WILL
PFEIFFER,OLYMPIA
DREYFUSS,ALAN
CARREY,MATTHEW
CLOSE,RUSSELL
BALL,RENEE
BIRCH,CUBA
SUVARI,JOHN
WALKEN,BELA
